model,localization,patch_site,N,topk,w_rf
gemma-3-12b-it,verse-long,o_proj_in,4,1.0,0.22
gemma-3-12b-it,verse-long,o_proj_in,5,0.01,0.04
gemma-3-12b-it,verse-long,o_proj_in,5,0.03,0.78
gemma-3-12b-it,verse-long,o_proj_in,5,0.05,0.78
gemma-3-12b-it,verse-long,o_proj_in,5,0.07,0.6
gemma-3-12b-it,verse-long,o_proj_in,5,0.09,0.56
gemma-3-12b-it,verse-long,o_proj_in,5,0.1,0.56
gemma-3-12b-it,verse-long,o_proj_in,5,0.5,0.5
gemma-3-12b-it,verse-long,o_proj_in,5,1.0,0.22
gemma-3-12b-it,verse-long,o_proj_in,6,0.01,0.36
gemma-3-12b-it,verse-long,o_proj_in,6,0.03,0.74
gemma-3-12b-it,verse-long,o_proj_in,6,0.05,0.7
gemma-3-12b-it,verse-long,o_proj_in,6,0.07,0.62
gemma-3-12b-it,verse-long,o_proj_in,6,0.09,0.54
gemma-3-12b-it,verse-long,o_proj_in,6,0.1,0.32
gemma-3-12b-it,verse-long,o_proj_in,6,0.5,0.62
gemma-3-12b-it,verse-long,o_proj_in,6,1.0,0.36
gemma-3-12b-it,verse-long,o_proj_in,8,0.01,0.86
gemma-3-12b-it,verse-long,o_proj_in,8,0.03,0.76
gemma-3-12b-it,verse-long,o_proj_in,8,0.05,0.82
gemma-3-12b-it,verse-long,o_proj_in,8,0.07,0.38
gemma-3-12b-it,verse-long,o_proj_in,8,0.09,0.24
gemma-3-12b-it,verse-long,o_proj_in,8,0.1,0.06
gemma-3-12b-it,verse-long,o_proj_in,8,0.5,0.56
gemma-3-12b-it,verse-long,o_proj_in,8,1.0,0.1
gemma-3-12b-it,verse-long,o_proj_in,10,0.01,0.82
gemma-3-12b-it,verse-long,o_proj_in,10,0.03,0.7
gemma-3-12b-it,verse-long,o_proj_in,10,0.05,0.74
gemma-3-12b-it,verse-long,o_proj_in,10,0.07,0.16
gemma-3-12b-it,verse-long,o_proj_in,10,0.09,0.36
gemma-3-12b-it,verse-long,o_proj_in,10,0.1,0.16
gemma-3-12b-it,verse-long,o_proj_in,10,0.5,0.44
gemma-3-12b-it,verse-long,o_proj_in,10,1.0,0.06
gemma-3-12b-it,verse-single,o_proj_out,1,0.01,0.06
gemma-3-12b-it,verse-single,o_proj_out,1,0.03,0.06
gemma-3-12b-it,verse-single,o_proj_out,1,0.05,0.08
gemma-3-12b-it,verse-single,o_proj_out,1,0.07,0.08
gemma-3-12b-it,verse-single,o_proj_out,1,0.09,0.04
gemma-3-12b-it,verse-single,o_proj_out,1,0.1,0.04
gemma-3-12b-it,verse-single,o_proj_out,1,0.5,0.08
gemma-3-12b-it,verse-single,o_proj_out,1,1.0,0.8
gemma-3-12b-it,verse-single,o_proj_out,2,0.01,0.04
gemma-3-12b-it,verse-single,o_proj_out,2,0.03,0.04
gemma-3-12b-it,verse-single,o_proj_out,2,0.05,0.06
gemma-3-12b-it,verse-single,o_proj_out,2,0.07,0.14
